Date,MDA8
15-05-16,88.68
16-05-16,123.01
17-05-16,222.84
18-05-16,196.68
19-05-16,240.61
20-05-16,221.97
21-05-16,212.35
22-05-16,197.18
23-05-16,151.7
24-05-16,124.14
25-05-16,115.06
26-05-16,113.49
27-05-16,175.84
28-05-16,194.38
29-05-16,156.74
30-05-16,269.93
31-05-16,221.66
01-06-16,161.44
02-06-16,215.89
03-06-16,211.21
04-06-16,231.37
05-06-16,212.85
06-06-16,235.46
07-06-16,195.59
08-06-16,208.23
09-06-16,214.88
10-06-16,172.51
11-06-16,109.28
12-06-16,202.09
13-06-16,161.12
14-06-16,88.15
15-06-16,138.22
16-06-16,143.84
17-06-16,98.57
18-06-16,198.34
19-06-16,204.65
20-06-16,222.45
21-06-16,224.24
22-06-16,204.4
23-06-16,153.61
24-06-16,129.55
25-06-16,110.22
26-06-16,200.33
27-06-16,145.88
28-06-16,116.1
29-06-16,152.73
30-06-16,173.35
01-07-16,132.55
02-07-16,173.76
03-07-16,194.65
04-07-16,202.1
05-07-16,212.06
06-07-16,206.13
07-07-16,229.92
08-07-16,191.28
09-07-16,191.5
10-07-16,184.13
11-07-16,180.29
12-07-16,142.7
13-07-16,161.88
14-07-16,137.05
15-07-16,99.74
16-07-16,93.46
17-07-16,201.1
18-07-16,156.11
19-07-16,86.28
20-07-16,58.24
21-07-16,50.72
22-07-16,138.32
23-07-16,166.86
24-07-16,172.53
25-07-16,99.51
26-07-16,146.35
27-07-16,215.52
28-07-16,175.05
29-07-16,201.62
30-07-16,167.46
31-07-16,104.56
01-08-16,152.69
02-08-16,146.15
03-08-16,202.65
04-08-16,209.03
05-08-16,156.61
06-08-16,158.75
07-08-16,120
08-08-16,150.09
09-08-16,184.2
10-08-16,153.12
11-08-16,154.98
12-08-16,97.48
13-08-16,50.26
14-08-16,143.03
15-08-16,99.49
16-08-16,147.16
17-08-16,95.79
18-08-16,42.88
19-08-16,122.36
20-08-16,183.46
21-08-16,227.75
22-08-16,162.97
23-08-16,125.63
24-08-16,125.14
25-08-16,91.44
26-08-16,89.35
27-08-16,85.76
28-08-16,89.17
29-08-16,115.71
30-08-16,168.9
31-08-16,102.65
01-09-16,72.69
02-09-16,63.4
03-09-16,139.63
04-09-16,165.39
05-09-16,111.92
06-09-16,78.26
07-09-16,142.59
08-09-16,103.98
09-09-16,74.38
10-09-16,99.74
11-09-16,115.14
12-09-16,118.6
13-09-16,136.67
